,trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
0,064850_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 11:45:06,2023-03-30 11:45:06
1,064850_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:36,2023-03-30 11:49:06
2,064850_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 11:50:36,
3,065050_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 11:44:11,2023-03-30 11:44:11
4,065050_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 11:45:41,2023-03-30 11:45:41
5,065050_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 11:46:41,2023-03-30 11:46:41
6,065050_1..S03R,20230330,1,139S,Rector St,2023-03-30 11:44:17.359474,2023-03-30 11:48:11,2023-03-30 11:48:11
7,065050_1..S03R,20230330,1,142S,South Ferry,2023-03-30 11:44:17.359474,2023-03-30 11:49:41,
8,065350_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 11:44:31,2023-03-30 11:44:31
9,065350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:01,2023-03-30 11:46:01
10,065350_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 11:47:31,2023-03-30 11:47:31
11,065350_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 11:49:01,2023-03-30 11:53:31
12,065350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 11:55:01,
13,065550_1..S03R,20230330,1,135S,Canal St,2023-03-30 11:44:17.359474,2023-03-30 11:45:20,2023-03-30 11:45:20
14,065550_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 11:46:20,2023-03-30 11:46:20
15,065550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 11:47:50,2023-03-30 11:47:50
16,065550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 11:48:50,2023-03-30 11:48:50
17,065550_1..S03R,20230330,1,139S,Rector St,2023-03-30 11:44:17.359474,2023-03-30 11:50:20,2023-03-30 11:50:20
18,065550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 11:44:17.359474,2023-03-30 11:51:50,
19,065850_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 11:44:17.359474,2023-03-30 11:44:38,2023-03-30 11:44:38
20,065850_1..N03R,20230330,1,108N,207 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:08,2023-03-30 11:46:08
21,065850_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 11:47:38,2023-03-30 11:47:38
22,065850_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 11:49:08,2023-03-30 11:49:08
23,065850_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 11:50:38,2023-03-30 11:50:38
24,065850_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 11:52:08,2023-03-30 11:55:38
25,065850_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:08,
26,066150_1..S03R,20230330,1,129S,28 St,2023-03-30 11:44:17.359474,2023-03-30 11:44:14,2023-03-30 11:44:14
27,066150_1..S03R,20230330,1,130S,23 St,2023-03-30 11:44:17.359474,2023-03-30 11:45:14,2023-03-30 11:45:14
28,066150_1..S03R,20230330,1,131S,18 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:14,2023-03-30 11:46:14
29,066150_1..S03R,20230330,1,132S,14 St,2023-03-30 11:44:17.359474,2023-03-30 11:47:14,2023-03-30 11:47:14
30,066150_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 11:44:17.359474,2023-03-30 11:48:44,2023-03-30 11:48:44
31,066150_1..S03R,20230330,1,134S,Houston St,2023-03-30 11:44:17.359474,2023-03-30 11:50:14,2023-03-30 11:50:14
32,066150_1..S03R,20230330,1,135S,Canal St,2023-03-30 11:44:17.359474,2023-03-30 11:51:44,2023-03-30 11:51:44
33,066150_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 11:52:44,2023-03-30 11:52:44
34,066150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 11:54:14,2023-03-30 11:54:14
35,066150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 11:55:14,2023-03-30 11:55:14
36,066150_1..S03R,20230330,1,139S,Rector St,2023-03-30 11:44:17.359474,2023-03-30 11:56:44,2023-03-30 11:56:44
37,066150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 11:44:17.359474,2023-03-30 11:58:14,
38,066350_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 11:44:17.359474,2023-03-30 11:44:09,2023-03-30 11:44:09
39,066350_1..N03R,20230330,1,111N,181 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:09,2023-03-30 11:46:09
40,066350_1..N03R,20230330,1,110N,191 St,2023-03-30 11:44:17.359474,2023-03-30 11:47:39,2023-03-30 11:47:39
41,066350_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 11:44:17.359474,2023-03-30 11:48:39,2023-03-30 11:48:39
42,066350_1..N03R,20230330,1,108N,207 St,2023-03-30 11:44:17.359474,2023-03-30 11:50:09,2023-03-30 11:50:09
43,066350_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 11:51:39,2023-03-30 11:51:39
44,066350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 11:53:09,2023-03-30 11:53:09
45,066350_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 11:54:39,2023-03-30 11:54:39
46,066350_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 11:56:09,2023-03-30 11:58:39
47,066350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 12:00:09,
48,066750_1..S03R,20230330,1,123S,72 St,2023-03-30 11:44:17.359474,2023-03-30 11:44:33,2023-03-30 11:44:33
49,066750_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 11:44:17.359474,2023-03-30 11:46:03,2023-03-30 11:46:03
50,066750_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 11:44:17.359474,2023-03-30 11:47:33,2023-03-30 11:47:33
51,066750_1..S03R,20230330,1,126S,50 St,2023-03-30 11:44:17.359474,2023-03-30 11:49:33,2023-03-30 11:49:33
52,066750_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 11:44:17.359474,2023-03-30 11:51:03,2023-03-30 11:51:03
53,066750_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 11:44:17.359474,2023-03-30 11:52:33,2023-03-30 11:52:33
54,066750_1..S03R,20230330,1,129S,28 St,2023-03-30 11:44:17.359474,2023-03-30 11:54:03,2023-03-30 11:54:03
55,066750_1..S03R,20230330,1,130S,23 St,2023-03-30 11:44:17.359474,2023-03-30 11:55:03,2023-03-30 11:55:03
56,066750_1..S03R,20230330,1,131S,18 St,2023-03-30 11:44:17.359474,2023-03-30 11:56:03,2023-03-30 11:56:03
57,066750_1..S03R,20230330,1,132S,14 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:03,2023-03-30 11:57:03
58,066750_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 11:44:17.359474,2023-03-30 11:58:33,2023-03-30 11:58:33
59,066750_1..S03R,20230330,1,134S,Houston St,2023-03-30 11:44:17.359474,2023-03-30 12:00:03,2023-03-30 12:00:03
60,066750_1..S03R,20230330,1,135S,Canal St,2023-03-30 11:44:17.359474,2023-03-30 12:01:33,2023-03-30 12:01:33
61,066750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 12:02:33,2023-03-30 12:02:33
62,066750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 12:04:03,2023-03-30 12:04:03
63,066750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 12:05:03,2023-03-30 12:05:03
64,066750_1..S03R,20230330,1,139S,Rector St,2023-03-30 11:44:17.359474,2023-03-30 12:06:33,2023-03-30 12:06:33
65,066750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 11:44:17.359474,2023-03-30 12:08:03,
66,066850_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 11:44:17.359474,2023-03-30 11:44:44,2023-03-30 11:44:44
67,066850_1..N03R,20230330,1,114N,145 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:14,2023-03-30 11:46:14
68,066850_1..N03R,20230330,1,113N,157 St,2023-03-30 11:44:17.359474,2023-03-30 11:48:14,2023-03-30 11:48:14
69,066850_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 11:44:17.359474,2023-03-30 11:49:44,2023-03-30 11:49:44
70,066850_1..N03R,20230330,1,111N,181 St,2023-03-30 11:44:17.359474,2023-03-30 11:51:44,2023-03-30 11:51:44
71,066850_1..N03R,20230330,1,110N,191 St,2023-03-30 11:44:17.359474,2023-03-30 11:53:14,2023-03-30 11:53:14
72,066850_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 11:44:17.359474,2023-03-30 11:54:14,2023-03-30 11:54:14
73,066850_1..N03R,20230330,1,108N,207 St,2023-03-30 11:44:17.359474,2023-03-30 11:55:44,2023-03-30 11:55:44
74,066850_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:14,2023-03-30 11:57:14
75,066850_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 11:58:44,2023-03-30 11:58:44
76,066850_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 12:00:14,2023-03-30 12:00:14
77,066850_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 12:01:44,2023-03-30 12:04:14
78,066850_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 12:05:44,
79,067350_1..S03R,20230330,1,121S,86 St,2023-03-30 11:44:17.359474,2023-03-30 11:44:11,2023-03-30 11:44:11
80,067350_1..S03R,20230330,1,122S,79 St,2023-03-30 11:44:17.359474,2023-03-30 11:45:11,2023-03-30 11:45:11
81,067350_1..S03R,20230330,1,123S,72 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:41,2023-03-30 11:46:41
82,067350_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 11:44:17.359474,2023-03-30 11:48:11,2023-03-30 11:48:11
83,067350_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 11:44:17.359474,2023-03-30 11:49:41,2023-03-30 11:49:41
84,067350_1..S03R,20230330,1,126S,50 St,2023-03-30 11:44:17.359474,2023-03-30 11:51:41,2023-03-30 11:51:41
85,067350_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 11:44:17.359474,2023-03-30 11:53:11,2023-03-30 11:53:11
86,067350_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 11:44:17.359474,2023-03-30 11:54:41,2023-03-30 11:54:41
87,067350_1..S03R,20230330,1,129S,28 St,2023-03-30 11:44:17.359474,2023-03-30 11:56:11,2023-03-30 11:56:11
88,067350_1..S03R,20230330,1,130S,23 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:11,2023-03-30 11:57:11
89,067350_1..S03R,20230330,1,131S,18 St,2023-03-30 11:44:17.359474,2023-03-30 11:58:11,2023-03-30 11:58:11
90,067350_1..S03R,20230330,1,132S,14 St,2023-03-30 11:44:17.359474,2023-03-30 11:59:11,2023-03-30 11:59:11
91,067350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 11:44:17.359474,2023-03-30 12:00:41,2023-03-30 12:00:41
92,067350_1..S03R,20230330,1,134S,Houston St,2023-03-30 11:44:17.359474,2023-03-30 12:02:11,2023-03-30 12:02:11
93,067350_1..S03R,20230330,1,135S,Canal St,2023-03-30 11:44:17.359474,2023-03-30 12:03:41,2023-03-30 12:03:41
94,067350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 12:04:41,2023-03-30 12:04:41
95,067350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 12:06:11,2023-03-30 12:06:11
96,067350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 12:07:11,2023-03-30 12:07:11
97,067350_1..S03R,20230330,1,139S,Rector St,2023-03-30 11:44:17.359474,2023-03-30 12:08:41,2023-03-30 12:08:41
98,067350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 11:44:17.359474,2023-03-30 12:10:11,
99,067350_1..N03R,20230330,1,117N,116 St-Columbia University,2023-03-30 11:44:17.359474,2023-03-30 11:44:34,2023-03-30 11:44:34
100,067350_1..N03R,20230330,1,116N,125 St,2023-03-30 11:44:17.359474,2023-03-30 11:47:04,2023-03-30 11:47:04
101,067350_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 11:44:17.359474,2023-03-30 11:48:34,2023-03-30 11:48:34
102,067350_1..N03R,20230330,1,114N,145 St,2023-03-30 11:44:17.359474,2023-03-30 11:50:04,2023-03-30 11:50:04
103,067350_1..N03R,20230330,1,113N,157 St,2023-03-30 11:44:17.359474,2023-03-30 11:52:04,2023-03-30 11:52:04
104,067350_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 11:44:17.359474,2023-03-30 11:53:34,2023-03-30 11:53:34
105,067350_1..N03R,20230330,1,111N,181 St,2023-03-30 11:44:17.359474,2023-03-30 11:55:34,2023-03-30 11:55:34
106,067350_1..N03R,20230330,1,110N,191 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:04,2023-03-30 11:57:04
107,067350_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 11:44:17.359474,2023-03-30 11:58:04,2023-03-30 11:58:04
108,067350_1..N03R,20230330,1,108N,207 St,2023-03-30 11:44:17.359474,2023-03-30 11:59:34,2023-03-30 11:59:34
109,067350_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 12:01:04,2023-03-30 12:01:04
110,067350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 12:02:34,2023-03-30 12:02:34
111,067350_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 12:04:04,2023-03-30 12:04:04
112,067350_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 12:05:34,2023-03-30 12:08:04
113,067350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 12:09:34,
114,067850_1..N03R,20230330,1,122N,79 St,2023-03-30 11:44:17.359474,2023-03-30 11:44:10,2023-03-30 11:44:10
115,067850_1..N03R,20230330,1,121N,86 St,2023-03-30 11:44:17.359474,2023-03-30 11:45:10,2023-03-30 11:45:10
116,067850_1..N03R,20230330,1,120N,96 St,2023-03-30 11:44:17.359474,2023-03-30 11:47:10,2023-03-30 11:47:10
117,067850_1..N03R,20230330,1,119N,103 St,2023-03-30 11:44:17.359474,2023-03-30 11:48:40,2023-03-30 11:48:40
118,067850_1..N03R,20230330,1,118N,Cathedral Pkwy (110 St),2023-03-30 11:44:17.359474,2023-03-30 11:49:40,2023-03-30 11:49:40
119,067850_1..N03R,20230330,1,117N,116 St-Columbia University,2023-03-30 11:44:17.359474,2023-03-30 11:50:40,2023-03-30 11:50:40
120,067850_1..N03R,20230330,1,116N,125 St,2023-03-30 11:44:17.359474,2023-03-30 11:53:10,2023-03-30 11:53:10
121,067850_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 11:44:17.359474,2023-03-30 11:54:40,2023-03-30 11:54:40
122,067850_1..N03R,20230330,1,114N,145 St,2023-03-30 11:44:17.359474,2023-03-30 11:56:10,2023-03-30 11:56:10
123,067850_1..N03R,20230330,1,113N,157 St,2023-03-30 11:44:17.359474,2023-03-30 11:58:10,2023-03-30 11:58:10
124,067850_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 11:44:17.359474,2023-03-30 11:59:40,2023-03-30 11:59:40
125,067850_1..N03R,20230330,1,111N,181 St,2023-03-30 11:44:17.359474,2023-03-30 12:01:40,2023-03-30 12:01:40
126,067850_1..N03R,20230330,1,110N,191 St,2023-03-30 11:44:17.359474,2023-03-30 12:03:10,2023-03-30 12:03:10
127,067850_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 11:44:17.359474,2023-03-30 12:04:10,2023-03-30 12:04:10
128,067850_1..N03R,20230330,1,108N,207 St,2023-03-30 11:44:17.359474,2023-03-30 12:05:40,2023-03-30 12:05:40
129,067850_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 12:07:10,2023-03-30 12:07:10
130,067850_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 12:08:40,2023-03-30 12:08:40
131,067850_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 12:10:10,2023-03-30 12:10:10
132,067850_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 12:11:40,2023-03-30 12:14:40
133,067850_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 12:16:10,
134,067950_1..S03R,20230330,1,117S,116 St-Columbia University,2023-03-30 11:44:17.359474,2023-03-30 11:46:17,2023-03-30 11:46:17
135,067950_1..S03R,20230330,1,118S,Cathedral Pkwy (110 St),2023-03-30 11:44:17.359474,2023-03-30 11:47:17,2023-03-30 11:47:17
136,067950_1..S03R,20230330,1,119S,103 St,2023-03-30 11:44:17.359474,2023-03-30 11:48:17,2023-03-30 11:48:17
137,067950_1..S03R,20230330,1,120S,96 St,2023-03-30 11:44:17.359474,2023-03-30 11:50:17,2023-03-30 11:50:17
138,067950_1..S03R,20230330,1,121S,86 St,2023-03-30 11:44:17.359474,2023-03-30 11:52:17,2023-03-30 11:52:17
139,067950_1..S03R,20230330,1,122S,79 St,2023-03-30 11:44:17.359474,2023-03-30 11:53:17,2023-03-30 11:53:17
140,067950_1..S03R,20230330,1,123S,72 St,2023-03-30 11:44:17.359474,2023-03-30 11:54:47,2023-03-30 11:54:47
141,067950_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 11:44:17.359474,2023-03-30 11:56:17,2023-03-30 11:56:17
142,067950_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 11:44:17.359474,2023-03-30 11:57:47,2023-03-30 11:57:47
143,067950_1..S03R,20230330,1,126S,50 St,2023-03-30 11:44:17.359474,2023-03-30 11:59:47,2023-03-30 11:59:47
144,067950_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 11:44:17.359474,2023-03-30 12:01:17,2023-03-30 12:01:17
145,067950_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 11:44:17.359474,2023-03-30 12:02:47,2023-03-30 12:02:47
146,067950_1..S03R,20230330,1,129S,28 St,2023-03-30 11:44:17.359474,2023-03-30 12:04:17,2023-03-30 12:04:17
147,067950_1..S03R,20230330,1,130S,23 St,2023-03-30 11:44:17.359474,2023-03-30 12:05:17,2023-03-30 12:05:17
148,067950_1..S03R,20230330,1,131S,18 St,2023-03-30 11:44:17.359474,2023-03-30 12:06:17,2023-03-30 12:06:17
149,067950_1..S03R,20230330,1,132S,14 St,2023-03-30 11:44:17.359474,2023-03-30 12:07:17,2023-03-30 12:07:17
150,067950_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 11:44:17.359474,2023-03-30 12:08:47,2023-03-30 12:08:47
151,067950_1..S03R,20230330,1,134S,Houston St,2023-03-30 11:44:17.359474,2023-03-30 12:10:17,2023-03-30 12:10:17
152,067950_1..S03R,20230330,1,135S,Canal St,2023-03-30 11:44:17.359474,2023-03-30 12:11:47,2023-03-30 12:11:47
153,067950_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 12:12:47,2023-03-30 12:12:47
154,067950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 12:14:17,2023-03-30 12:14:17
155,067950_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 12:15:17,2023-03-30 12:15:17
156,067950_1..S03R,20230330,1,139S,Rector St,2023-03-30 11:44:17.359474,2023-03-30 12:16:47,2023-03-30 12:16:47
157,067950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 11:44:17.359474,2023-03-30 12:18:17,
158,068350_1..N03R,20230330,1,124N,66 St-Lincoln Center,2023-03-30 11:44:17.359474,2023-03-30 11:45:30,2023-03-30 11:45:30
159,068350_1..N03R,20230330,1,123N,72 St,2023-03-30 11:44:17.359474,2023-03-30 11:46:30,2023-03-30 11:46:30
160,068350_1..N03R,20230330,1,122N,79 St,2023-03-30 11:44:17.359474,2023-03-30 11:48:30,2023-03-30 11:48:30
161,068350_1..N03R,20230330,1,121N,86 St,2023-03-30 11:44:17.359474,2023-03-30 11:49:30,2023-03-30 11:49:30
162,068350_1..N03R,20230330,1,120N,96 St,2023-03-30 11:44:17.359474,2023-03-30 11:51:30,2023-03-30 11:51:30
163,068350_1..N03R,20230330,1,119N,103 St,2023-03-30 11:44:17.359474,2023-03-30 11:53:00,2023-03-30 11:53:00
164,068350_1..N03R,20230330,1,118N,Cathedral Pkwy (110 St),2023-03-30 11:44:17.359474,2023-03-30 11:54:00,2023-03-30 11:54:00
165,068350_1..N03R,20230330,1,117N,116 St-Columbia University,2023-03-30 11:44:17.359474,2023-03-30 11:55:00,2023-03-30 11:55:00
166,068350_1..N03R,20230330,1,116N,125 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:30,2023-03-30 11:57:30
167,068350_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 11:44:17.359474,2023-03-30 11:59:00,2023-03-30 11:59:00
168,068350_1..N03R,20230330,1,114N,145 St,2023-03-30 11:44:17.359474,2023-03-30 12:00:30,2023-03-30 12:00:30
169,068350_1..N03R,20230330,1,113N,157 St,2023-03-30 11:44:17.359474,2023-03-30 12:02:30,2023-03-30 12:02:30
170,068350_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 11:44:17.359474,2023-03-30 12:04:00,2023-03-30 12:04:00
171,068350_1..N03R,20230330,1,111N,181 St,2023-03-30 11:44:17.359474,2023-03-30 12:06:00,2023-03-30 12:06:00
172,068350_1..N03R,20230330,1,110N,191 St,2023-03-30 11:44:17.359474,2023-03-30 12:07:30,2023-03-30 12:07:30
173,068350_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 11:44:17.359474,2023-03-30 12:08:30,2023-03-30 12:08:30
174,068350_1..N03R,20230330,1,108N,207 St,2023-03-30 11:44:17.359474,2023-03-30 12:10:00,2023-03-30 12:10:00
175,068350_1..N03R,20230330,1,107N,215 St,2023-03-30 11:44:17.359474,2023-03-30 12:11:30,2023-03-30 12:11:30
176,068350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 11:44:17.359474,2023-03-30 12:13:00,2023-03-30 12:13:00
177,068350_1..N03R,20230330,1,104N,231 St,2023-03-30 11:44:17.359474,2023-03-30 12:14:30,2023-03-30 12:14:30
178,068350_1..N03R,20230330,1,103N,238 St,2023-03-30 11:44:17.359474,2023-03-30 12:16:00,2023-03-30 12:18:30
179,068350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 11:44:17.359474,2023-03-30 12:20:00,
180,068550_1..S03R,20230330,1,114S,145 St,2023-03-30 11:44:17.359474,2023-03-30 11:44:22,2023-03-30 11:44:22
181,068550_1..S03R,20230330,1,115S,137 St-City College,2023-03-30 11:44:17.359474,2023-03-30 11:45:52,2023-03-30 11:46:52
182,068550_1..S03R,20230330,1,116S,125 St,2023-03-30 11:44:17.359474,2023-03-30 11:48:22,2023-03-30 11:48:22
183,068550_1..S03R,20230330,1,117S,116 St-Columbia University,2023-03-30 11:44:17.359474,2023-03-30 11:50:52,2023-03-30 11:50:52
184,068550_1..S03R,20230330,1,118S,Cathedral Pkwy (110 St),2023-03-30 11:44:17.359474,2023-03-30 11:51:52,2023-03-30 11:51:52
185,068550_1..S03R,20230330,1,119S,103 St,2023-03-30 11:44:17.359474,2023-03-30 11:52:52,2023-03-30 11:52:52
186,068550_1..S03R,20230330,1,120S,96 St,2023-03-30 11:44:17.359474,2023-03-30 11:54:52,2023-03-30 11:54:52
187,068550_1..S03R,20230330,1,121S,86 St,2023-03-30 11:44:17.359474,2023-03-30 11:56:52,2023-03-30 11:56:52
188,068550_1..S03R,20230330,1,122S,79 St,2023-03-30 11:44:17.359474,2023-03-30 11:57:52,2023-03-30 11:57:52
189,068550_1..S03R,20230330,1,123S,72 St,2023-03-30 11:44:17.359474,2023-03-30 11:59:22,2023-03-30 11:59:22
190,068550_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 11:44:17.359474,2023-03-30 12:00:52,2023-03-30 12:00:52
191,068550_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 11:44:17.359474,2023-03-30 12:02:22,2023-03-30 12:02:22
192,068550_1..S03R,20230330,1,126S,50 St,2023-03-30 11:44:17.359474,2023-03-30 12:04:22,2023-03-30 12:04:22
193,068550_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 11:44:17.359474,2023-03-30 12:05:52,2023-03-30 12:05:52
194,068550_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 11:44:17.359474,2023-03-30 12:07:22,2023-03-30 12:07:22
195,068550_1..S03R,20230330,1,129S,28 St,2023-03-30 11:44:17.359474,2023-03-30 12:08:52,2023-03-30 12:08:52
196,068550_1..S03R,20230330,1,130S,23 St,2023-03-30 11:44:17.359474,2023-03-30 12:09:52,2023-03-30 12:09:52
197,068550_1..S03R,20230330,1,131S,18 St,2023-03-30 11:44:17.359474,2023-03-30 12:10:52,2023-03-30 12:10:52
198,068550_1..S03R,20230330,1,132S,14 St,2023-03-30 11:44:17.359474,2023-03-30 12:11:52,2023-03-30 12:11:52
199,068550_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 11:44:17.359474,2023-03-30 12:13:22,2023-03-30 12:13:22
200,068550_1..S03R,20230330,1,134S,Houston St,2023-03-30 11:44:17.359474,2023-03-30 12:14:52,2023-03-30 12:14:52
201,068550_1..S03R,20230330,1,135S,Canal St,2023-03-30 11:44:17.359474,2023-03-30 12:16:22,2023-03-30 12:16:22
202,068550_1..S03R,20230330,1,136S,Franklin St,2023-03-30 11:44:17.359474,2023-03-30 12:17:22,2023-03-30 12:17:22
203,068550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 11:44:17.359474,2023-03-30 12:18:52,2023-03-30 12:18:52
204,068550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 11:44:17.359474,2023-03-30 12:19:52,2023-03-30 12:19:52
